date_posted;price;city;subregion;region;state;post_text;posts_scraped_on
2022-01-17T06:46:21-0600;25.0;no city found;no subregion found;birmingham,al;Alabama;\n\n\n\n\nAt OmniKen Edu. we offer many different services including group classes, private tutoring, and custom classes for homeschool students. We offer private tutoring for grades K- 12 in Math, Reading, Essay Writing, Science, and College Entrance exams (SAT and ACT Prep).\n\nOne thing that sets us apart from other tutors and tutoring companies is that we record all sessions and notes, so your child will have the ability to go back and review all of their sessions at their convenience.\n\nThis month, we are offering all of our sessions for $25 per hour!\n\nEmail, text, or call us to sign up.\n    ;2022-02-03
2022-01-04T23:31:47-0900;40.0;Anchorage;no subregion found;anchorage;Alaska;\n\n\n\n\nMe at a glance:\n-Over 6 yrs of tutoring experience (all ages)\n-B.A. with honors in mathematics\n-Work experience in mathematical research\n-Online, hybrid, and in-person options available \n-$40/hr fee\n\nHello students and parents of students! My name is Eddie Seryozhenkov, and I am offering tutoring in mathematics and physics at all levels.\n\nMY CREDENTIALS:\nIn 2019 I graduated with a B.A. in Math from Willamette University in Salem Oregon. During my four years there, I served as a tutor for all types of students, from middle schoolers, to high schoolers, college students with learning disabilities, and adults working towards their GED. In 2017, I won a position in a National Science Foundation internship program in Virginia, and also studied abroad with the rigorous Math in Moscow program. Upon graduation, I came very close to becoming a high school teacher, and I believe my preparation for the field makes me uniquely suited to help any student get to where they want to be.\n\nMY APPROACH:\nIn my experience, people don’t usually seek out tutors because they love math. They seek out tutors because they’re in a tough spot and need help. I think this is nothing to be ashamed of. Students these days have a ton of different things competing for their attention, and so it’s no surprise at all when math and science end up on the back burner. It’s hard to sit there alone with a textbook and actually solve problems, even for me. Math, however, is best learned by doing precisely this. And when students need help with problem solving, they need it from an empathetic coach, not a drill instructor or a lecturer. That’s always what I try to be---an empathetic coach.\n\nSERVICES, LOGISTICS & FEE:\nMy going rate is $40.00 an hour. I usually tutor in homes, at libraries, and at coffee shops, but considering the current state of Anchorage, I’ve made online and hybrid options available. Please drop me a line if you have any questions at all about what I can do for you. Test prep, midterm recovery, whatever it is—we've all been there. \n\nBest regards,\n-Eddie S.\n;2022-02-03
2022-01-30T14:03:22-0700;30.0;Flagstaff;no subregion found;flagstaff;Arizona;\n\n\n\n\nCertified teacher, available for most subjects, live online! \n\nI have my M.Ed. in Special Education- get help with IEP/PDP/504, and questions about educational planning. \n\nWork on skills, including ALGEBRA, GEOMETRY, and COLLEGE courses!\n\nPrep for college entrance exams, with an SAT and ACT expert!\n\nWith over 15 years in public schools, I have taught chemistry, biology, lower physics, algebra, geometry, trigonometry, language arts, writing, health, and geography. I will help with social studies, electives (Spanish), study skills, and note-taking. \n\nI have a love for teaching, and I have tutored on the side for over a decade. I am flexible with price, generally seeking $30 per hour, but tell me your situation. I also offer other educational services, including advocacy and consultation. Please tell me what is happening, confidentially, and I will do what I can. \n\nReferences for my current students are available, upon request! Thank you!\n\nDavid\n(512) 736-9858\n;2022-02-03
2022-02-01T11:59:44-0700;27.0;Phoenix;Phx North;phoenix;Arizona;\n\n\n\n\nDo you need help with your Math, Chemistry, Physics, Engineering classes? Our mission is to help students succeed in their classes. We provide 24/7 assistance to take away the stress of upcoming Assignments / Homework , Projects and Exams. PCM only works with highly experienced, professional tutors who have a proven track record of success. Our individualized approach has helped countless students achieve the academic and test prep goals of their dreams.\n\nCHEMISTRY: Introductory Chemistry , AP Chemistry , General Chemistry I and II, Organic Chemistry I and II , Advanced Organic Chemistry , Biochemistry , Physical Chemistry , Analytical Chemistry , Thermochemistry\n\nPHYSICS: AP Physics , Engineering Thermodynamics , Applied Physics , Mechanics / Motion , Geometric Optics , Thermodynamics , Fluid Mechanics , Electro Statics / Electro-Dynamics / Magnetism , Circuits / Advanced Circuit Concepts , Oscillations / Waves , Atomic / Nuclear / Particle Physics , Modern Physics / Intro Quantum , Astro-Physics / Astronomy , Quantum Mechanics  \n\nMATH: Algebra 1 / Beginning Algebra , Geometry , Trigonometry , Pre-Algebra / Elementary Math , Algebra 2 / Intermediate Algebra , Probability and Statistics , Elementary Statistics , Business Statistics , Stats for Social Sciences and Psychology , Mathematical Concepts / Foundations of Mathematics , Business Calculus , Calculus 1 ( single variable ) , Calculus 2 ( single variable ) , Calculus 3 ( multi variable ) , Differential Equations ( calc 4 ) , Differential Equations using MATLAB , College Algebra / Advanced Algebra , Discrete / Finite Math , Linear Algebra.\n\nHourly Rate: $29/hr\n**$25/hr for help requiring >10 hours. 20% discount available for referrals.\n\nContact Us:\nWebsite:PCMassist.com\nEmail: help@pcmassist.com\nText: (818) 458-0086\n\nWork with us once and you won’t regret it! We guarantee an A+ work!\n;2022-02-03
2022-01-30T15:27:38-0700;50.0;Phenoix, Az;Phx North;phoenix;Arizona;\n\n\n\n\nMy name is Tobi. I have a Bachelor's Degree in Mathematics. I have worked for Mathnasium tutoring kids in Mathematics and as a private tutor. I am open to tutoring grades K to 8th grade mathematics through Skype. ﻿I can help your child understand and even love mathematics. I am looking forward to working with you and your child and learning together through this pandemic and beyond.\n\n﻿Cost: $50/hour\n    ;2022-02-03
2022-01-28T13:19:23-0700;45.0;Scottsdale;East Valley;phoenix;Arizona;\n\n\n\n\nUniversity, College, and High School Spring Session 2022 Tutoring and Exam Prep! Highly experienced (over 2000 hours tutoring) local (Scottsdale/Phoenix/Tempe) in person tutoring by John the science/math tutor (480-343-2212) for all levels (1st and 2nd semester) of:\n\nChemistry (including general chemistry, organic chemistry, and biochemistry), general biology, microbiology and genetics, general physics, math and statistics (including college algebra, pre-calculus, and brief calculus), for Community College, ASU, UofA, AND High School!\n\n$45 per hour for individual in person tutoring and exam prep. Group tutoring and exam prep also (2 or more students).\nCall or text John at 480-343-2212. Here's a list of some of the courses I tutor,\n\nGeneral chemistry: ALL, including CHM 101, 107, 113, 114, 116, 130, 138, 151, 152\n\nOrganic chemistry: ALL, including CHM 230, 231, 233, 234, 235, 236\n\nBiology and Biochemistry: Bio 100, 101, 181, 241, 282, 340 BCH 361, Microbiology: All\n\nPhysics: PHY 101, 111, 112 PHS 110\n\nMath: Mat 117, 121, 141, 142, 151, 170, 210,   Statistics, Including Psy 230\n\nALL High School chemistry, math, physics, and biology\n\nI'm also the author of a general chemistry tutorial workbook which I sell (new copies) directly to students for $30. Call John (the Tutor) at the above contact information to schedule a tutoring session in the Scottsdale and ASU areas, and/or to purchase a new copy of the tutorial book!\n    ;2022-02-03
2022-01-23T20:22:56-0700;40.0;no city found;West Valley;phoenix;Arizona;\n\n\n\n\nHello, I’m Lonzo an online math tutor. I’ve been tutoring math online/ in person for about five years. I graduated from University Of California Riverside with bachelor of art in economic and a minor in math. Here are the courses that I’m confident and have many years of experience: calculus 1, business calculus, precalculus, trigonometry, college algebra, intermediate algebra, algebra 2, middle school algebra, and anything below. I don’t do statistic since I never took the course in college. Since, I live in Southern California I can only tutor math online.\n\nHow much is my services? The first hour is always free for all math courses. After that it’s $25 an hour for college algebra and below, $30 an hour for precalculus/trigonometry, and $50 an hour for calculus 1 and business calculus. I also offer monthly subscription starting at $50 per month with monthly subscription you get a max of 2 days per week, one hour per day that’s a potential 8 sessions per month. Cancel or enroll any time there are no cancellation fee. Since the subscription plan is very popular, and it’s only me who is tutoring( no third party) space can be limited so please sign up now. For payment I accept: paypal, zelle, or payment on website is fine.\n\nIs online math tutoring worth it, is it like real thing? Yes, online math tutoring is worth it, and it’s exactly like in person tutoring. It’s a share screen process, I will go over the assignment or anything you want to go over step by step using annotation mode( I write on your screen) or I can do each problem using my zoom online whiteboard. If the schoolwork isn’t online just email or text me the problems, and I will go over each problem using my zoom online whiteboard. You will see every step for each problem.\n\nWhat do I need for online math tutoring? 1) computer with wifii, 2) microphone( usually built into newer computers), 3) valid email to send zoom link( don’t need a zoom account), 4) the drive to learn\n\nHow do I make my first free appointment? You can make your first session at my website at https://www.lonzosmathtutoring.com/ or directly with me via text or phone at 951-795-5027 Mon-Sun 7am-11pm pacific time. Due to heavy traffic please schedule your first free appointment online.\n    ;2022-02-03
2022-01-21T12:23:11-0700;60.0;Phoenix;Central/South Phx;phoenix;Arizona;\n\n\n\n\nServing all of the Phoenix Area in Facetime and Zoom tutoring\n\n*Math\n*Physics\n*Chemistry\n*Algebra\n*Geometry\n*Pre-Calc\n*Calculus\n*Thermodynamics\n*Statics, Dynamics\n*Fluid Mechanics\n*Several other Engineering courses\n\n| ----- My Educational Background and Experience ----- |\n\nDos Pueblos Engineering Academy Class of 2008.\nCal Poly Mechanical Engineering BS 2013.\nHave my Fundamentals of Engineering Certificate in Mechanical Engineering.\n\n*AP Physics-Score 5\n*AP Chemistry-Score 5\n*AP Calc\n*4 Calc Classes at Cal Poly\n*2 Linear Analysis at Cal Poly\n\n| ----- Rate ----- |\n\n$60/hr and 1 hour minimum sessions.\n\n24 hour cancellation policy: If you cancel within 24 hours, you will be charged for 1 hour and I will credit you 1 hour next session.\n\nPlease text to schedule. 805-705-five7two1. Include your name and 2 example photos of problems from the class.\n\n-Rick\n    ;2022-02-03
2022-01-16T00:31:17-0700;40.0;Online;Central/South Phx;phoenix;Arizona;\n\n\n\n\n★★ College Math Tutor★ Calculus I ,II & III, AP Calculus AB/BC , Trig, College Algebra, College Statistics, Linear Algebra, ODE\n\n\nWebsite :\n\nwww.collegemathcourses.com\n\nYouTube :(Under Construction)\n\nhttps://www.youtube.com/channel/UCqhFZRmUqOAAPMQpo58TV7g\n\n★★ All tutoring is done by One Tutor. ★★\n\n\nElementary Statistics and Probability\nIntroduction to Statistical Reasoning\nProbability and Statistics\nMathematical Statistics\n\nPre-Algebra\nIntermediate Algebra\nCollege Algebra/Algebra 1/Algebra 2\n\nGeometry\nTrigonometry (Trig)\nFinite Mathematics\nPre-Calculus /Math Analysis\nCalculus I , II and III\nVector Calculus\nIntroduction Linear Algebra (Matrix)\nFinite Mathematics\n\n===For Engineering students ========================\n\nAdvanced Calculus\nDifferential and Integral Calculus\nMultiple Variable Calculus\nApplied Statistics and Probability for Engineers\nComplex Numbers\nDifferential Equation\nEngineering Analysis\n\n===For MBA and EMBA students ====================\n\nBusiness Statistics\nBusiness Calculus\n\nIntroduction to Statistical Reasoning\nOperational Research\nOptimization\nQuantitative Analysis\nDecision Analysis\nManagement Science\nLinear Programming\nTransportation Problems\n\nExcel Tableau\nMathematics and Politics\nProject Management\n\nTest Preparation\n\nSAT\n\nCBEST, CSET I, II and III (MATHEMATICS for HS and Middle school Teachers)\n\nGRE MATH\n\nGMAT MATH\n\nAP Calculus AB and BC\nAP Statistics\n\nGraphing Calculation help\n\n\nHourly Rate : Depending on the subject: ==== Most Math/Stats Subjects ====\n\n\n============= ★★ $40/hr ★★ ====================================\nAssignment Help, Homework Help -Step by Step Solutions\n====================================================================\n\n============== ★★ $40/hr ★★ =========================================\n\nZoom 1-on-1 tutoring : $40/hr\n\n====================================================================\n\n\n★ I can help students with their homework assignments , projects, and prepare for the Exams★\n\n★ I will forward you a PDF file of the notes and problems solved during the tutoring session if needed★\n\n\n==★★ Exp University Level Math Tutor (MS Applied Mathematics, MS Applied Statistics, ...etc) ★★ ==\n\n============== ★★ ★★ =======================================\nGRE MATH (My GRE MATH Score : 800/800)\n============================================================\n\n★★ You're not paying for the hours or minutes but for Education, Knowledge and Experience ★★\n\n★★★★★★ Text/ Email Preferred (Text for a Faster Response ) ★★★★★★\n============================================================================\n\n\n\n\n★ Calculus II ★\nIntegrals\nIntegration by Parts\nInverse Functions\nTechniques of Integration\nInfinite Sequences and SERIES\nConverge and Divergence Tests..\nAreas and VOULUMES\nAreas and Lengths in Polar Coordinates\nConic Sections\nParametric Equations and Polar Coordinates\nIntroduction to Vector Calculus\n\n\n★ Calculus III ★\n\n3D Coordinate Systems\nVector Functions\nPartial Derivatives\nMaximum and Minimum Values (With constraints)\nMultiple Integrals\nVector Calculus\nLine Integrals\nSurface Integrals\nFundamental theorems for line Integrals\nApplications (Calculus 1, 2 , 3. and Multivariable Calculus)\nGreens Theorem\nDivergence Theorem\nStroke's Theorem\nIntroduction to Second order Differential Equations\n\n\nCollege Statistics :\nElasticity, ANOVA, Z , t , Normal, Poisson, Binomial, Exponential, Uniform, Negative Binomial, Hyper-geometric distributions , Trigonometry, Integration, Integration by Parts, Differentiation, derivative , Theory of Voting, Majority Rule, Voting Methods, Voting Power, Minimum Spanning tree , Shortest path, spanning tree , PERT, CPM, ALEKS, Cengage ,Canvas, MyMathLab , MyStatLab ,Pearson , Wiley , Brightspace, MyOpenMath, Connect,Webwork. ConnectMath, StraighterLine , Statcrunch ,WebAssign , Lumenohm. etc\n\nKeywords: High School, Middle School, College, University, Home school, Online Help, Google Drive, Zoom, Screen share, whiteboard, , Graphing Calculator Help, Consultation, STEM, Excel, statcrunch, F201, MBA 626, QUMS 505, BUAD 310 (USC), QBUS 215, MATH 227, QMS 321, IS 310 (CSULB), QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA), Introduction to Statistical Reasoning STATISTICS 10 (UCLA), MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MAT 323, MAE 505, PPD 502X, Psych 210, Psy 3307 , MA-336 (CUNY), MA-114 (CUNY), MA-119 (CUNY) , MA-441 (CUNY), MA-442 (CUNY), MA-440(CUNY), MA-261 (CUNY), MA-121 (CUNY), MA-120 (CUNY), MA-10 (CUNY), MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math 165 (El Camino), Math12400,.....\n(SMC) Math 1, Math 2, Math 2C, Math 3, Math 3C, Math 4, Math 4C, Math 7, Math 8, Math 15, Math 18, Math 20, Math 21C, Math 26, Math 26C, Math 28, Math 29, Math 31, Math 32, Math 41, Math 50, Math 54,Math 54C,Math 81,Math 84,Math 85 (SMC)\n(SBCC) MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124, MATH 1040 (Honors), MATH G160, STAT 280 (Applied Statistics),\n\nStony Brook University:\n[MAT 119: Foundations for Precalculus, MAT 122: Overview of Calculus with Applications, MAT 123: Precalculus, MAT 126: Calculus B, MAT 127: Calculus C, MAT 130: Trigonometry and Logarithms, MAT 132: Calculus II, MAT 141: Analysis I,MAT 171: Accelerated Single-Variable Calculus, MAT 203: Calculus III with Applications, MAT 211: Introduction to Linear Algebra, MAT 260: Problem Solving in Mathematics, MAT 307: Multivariable Calculus with Linear Algebra, MAT 308: Differential Equations with Linear Algebra, MAT 307: Multivariable Calculus with Linear Algebra, MATH 125]\nMAT 241 ( Calculus 3/ Chicago/Illinois)\n    ;2022-02-03
2022-01-16T08:12:56-0700;57.0;Tempe;East Valley;phoenix;Arizona;\n\n\n\n\nBlakeTutoring.com\n\nOVER 450 5-star reviews on Wyzant & Thumbtack\n1 hour sessions for only $57\n30 minute sessions for only $35\n\nText/Call: 724-804-8356\nHi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.\nI have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.\nMy tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!\n\n\nMath: Algebra I/II, Calculus (AP AB & College Level), Common Core, Geometry, Precalculus, Statistics (AP/College Level), & Trigonometry\nComputer Science: AP CS A/Principles, C/C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & SQL\nTest Preparation: ACT (All Sections), ASVAB, GED, HiSET, & SAT (All Sections)Text/Call: 724-804-8356\n ;2022-02-03
