date_posted;price;city;subregion;region;state;post_text;posts_scraped_on
2022-03-02T07:35:07-0600;57;Birmingham;no subregion found;birmingham,al;Alabama;\n\n\n\n\nBlakeTutoring.com\n\nOVER 450 five-star reviews on Wyzant & Thumbtack!\n1 hour sessions for only $57!\n30 minute sessions for only $35!\n\nText/Call: 724-804-8356\nHi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.\nI have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.\nMy tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!\n\n\nMath: Algebra I/II, Calculus (AP AB & College Level), Geometry, Precalculus, Statistics (AP, College Level, & with Excel, R, or SPSS), & Trigonometry\nComputer Science: AP CS A/Principles, C, C++, CSS, Databases (Microsoft Access, MySQL, SQL, SQLite), HTML, Java, JavaScript, Linux (Bash/Zsh), Python, & R\nTest Preparation: ACT (All Sections), ASVAB, GED, GRE (Quantitative), HiSET, HSPT, SAT (All Sections), & SSAT (All Sections & Levels)\nText/Call: 724-804-8356\n ;2022-03-05
2022-02-07T04:01:14-0600;25.0;no city found;no subregion found;birmingham,al;Alabama;\n\n\n\n\nAt OmniKen Edu. we offer many different services including group classes, private tutoring, and custom classes for homeschool students. We offer private tutoring for grades K- 12 in Math, Reading, Essay Writing, Science, and College Entrance exams (SAT and ACT Prep).\n\nOne thing that sets us apart from other tutors and tutoring companies is that we record all sessions and notes, so your child will have the ability to go back and review all of their sessions at their convenience.\n\nThis month, we are offering all of our sessions for $25 per hour!\n\nEmail, text, or call us to sign up.\n;2022-03-05
2022-02-14T19:50:09-0600;50;no city found;no subregion found;tuscaloosa;Alabama;\n\n\n\n\nTutoring rate. $50/hr, Group Rate, $10 each additional person.\n\nCLASSES OFFERED:\n\nPHYSICS: Physics with Calculus, Mechanics, Statistics/Probability, Quantum Mechanics and Electrodynamics, college and high school level. GRE, MCAT, SAT Physics.\n\nMATH: Calculus I, II, III, Business Calc, Linear Algebra, Econ lin Alg, Differential Equations, Statistics, Pre-Calculus, Trigonometry, Geometry, Algebra, Pre-Algebra, Microsoft Excel, college and high school level. Test preparation for math, GMAT, GRE, MCAT, LSAT, SAT, ACT, LSAT, GED and any other entrance exam.\nCalifornia Contractors State license Board, CSLB exams, math help for, electrictrical/low voltage, carpentry, boiler, concrete, elevator HVAC, plumbing solar, welding.\n\nCHEMISTRY: General College Chemistry I,II, college and high school level.\n\nESSAY/TERM PAPER: Term paper preparation, presentations and public speaking.\n\nONLINE TUTORING ONLY, I have a professional Zoom account with unlimited time, Skype or any other video conferencing platform will also work. I have equation editing software, so I can type out the equations we are discussing and share my screen for easy viewing. I can then save the finished work and email the PDF for later review.\n\nI am in the Pacific time zone.\nIn the Central time zone, Your 12 Noon is my 10 am.\n\nTUTORING CREDENTIALS\nI have been tutoring for 6+ years, and I have many students who are all satisfied with my help. I have earned my B.S and M.S. in Physics from San Francisco State University in May 2017. You can confirm my credentials through the WYZANT tutoring website. I have a 5 star rating and I strive to give you the best tutoring experience possible. I have also passed Wyzant’s background checks. You can paste this link into your search window for security. https://www.wyzant.com/Tutors/PhysicsMath_TrevorK\nYou can also check out my website, https//trevorskelly.com/ for more details on tutoring for physics, math and chemistry and physics research consulting.\n\nI CAN HELP YOU WITH TUTORING:\nDo you need help with your Physics with Calculus classes, or just need help with math? I can help you study for a test or homework. I know how difficult learning physics, math and chemistry can be, and I will help you to avoid the common conceptual mistakes and pitfalls. If you would like help in physics, math or chemistry, feel free to contact me. Many people ask me to do their work for them, here is my response: I WILL NOT COMPLETE YOUR EXAMS, TESTS OR HOMEWORK FOR YOU, PLEASE DO NOT EVEN ASK.\n\nI am well versed in the subjects of Physics with calculus, from kinematics all the way up to special relativity. I can also help you with Calculus I, II, III, Statistics, Pre-Calculus, Trigonometry, Geometry, Algebra, Pre-Algebra Trig, and Algebra. Lower level physics and math students are also welcome. I can also help you with general chemistry I, II, which deal with buffers, titration, and rates of reaction (kinetics).\n\nI live in the bay area and I offer high quality online tutoring. My hourly rate is $50. I accept students of all ages.\n\nMy name is Trevor, please contact me through the Craigslist messenger.\n\nOptics Experience/Physics Research and Development\n\nI can assist with Research and Development of specific physics, optics, photonics and fluid dynamics application ideas from original conception to completion. Currently I am a self-employed research consultant and private tutor. Please check my website, https//trevorskelly.com/ for more information.\n\nPlease inquire if you would like more details.\n;2022-03-05
2022-02-11T15:32:23-0900;10.0;Anchorage;no subregion found;anchorage;Alaska;\n\n\n\n\nHello, I am an experienced math tutor and have been tutoring students in whatever math subject they may need assistance in. I have been math tutoring for 10 years. I consider math to be my strongest suite from school K-12 and college studies. This is a subject that I understand well and do not tutor any other subjects except for perhaps a bit of Chemistry or Physics.\n\nSome math classes that I have taken include Algebra I and II, Geometry, Pre- Calculus, Trigonometry, Calculus I, II, and III, Linear Algebra, and Differential Equations. I also have math tutored students in classes below this such as Algebra being one of the most common classes I tutor in and the above listed math classes are just to give you an idea of the range of math I can tutor in.\n\nI can also help with things like long division, fractions, or anything below the math classes listed above. I can also adapt to different learning styles and explain math problems in different ways since doing that helps it to make sense easier for some students.  There have been two or more students bring their math grade up from a D to an A which I was tutoring once a week or every other week.  \n\nI have tutored many students of many abilities and personalities in grades K-12 and helped them get caught up in their class along with providing useful studying, strategies, and methods for solving similar problems.  I am very effective with my tutoring strategies and guarantee useful guidance to students beyond just helping them with the problem.  I am very easy to get along with and have meet with people of all different types of ethnicities and backgrounds.\n\nI have also tutored many students in Algebra I and II, Geometry, Pre-Calculus, Trigonometry, and Calculus. I have been able to answer all the questions students have had in these classes along with providing tips, hints, and studying strategies. I assure you I know my stuff when it comes to math tutoring and provide only useful information so we aren't wasting any time and also making sure students understand what they are being taught. My hourly rate reflects my time and expertise in tutoring and have adjusted the rates to meet the needs of the varying class difficulties. 30 hr for any class below Algebra I, 35 hr for any class Algebra I and above.\n\nI live in Anchorage but go to Eagle River at least once a week.  I am open to tutoring in Wasilla or Palmer with an added $10 for gas and time cost.  I can also wear a mask if needed for the tutoring appointment.  Give me a call or text at 907-854-9200 to set up a day and time. I am reliable and always show up on the day and time of my tutor appointment. I've tutored and helped many, many clients. Please respect my time as I respect yours. Thanks!\n\nPS: I have math tutoring references if you want to check in with them.\n;2022-03-05
2022-03-04T08:00:15-0700;27.0;Phoenix;Phx North;phoenix;Arizona;\n\n\n\n\nDo you need help with your Math, Chemistry, Physics, Engineering classes? Our mission is to help students succeed in their classes. We provide 24/7 assistance to take away the stress of upcoming Assignments / Homework , Projects and Exams. PCM only works with highly experienced, professional tutors who have a proven track record of success. Our individualized approach has helped countless students achieve the academic and test prep goals of their dreams.\n\nCHEMISTRY: Introductory Chemistry , AP Chemistry , General Chemistry I and II, Organic Chemistry I and II , Advanced Organic Chemistry , Biochemistry , Physical Chemistry , Analytical Chemistry , Thermochemistry\n\nPHYSICS: AP Physics , Engineering Thermodynamics , Applied Physics , Mechanics / Motion , Geometric Optics , Thermodynamics , Fluid Mechanics , Electro Statics / Electro-Dynamics / Magnetism , Circuits / Advanced Circuit Concepts , Oscillations / Waves , Atomic / Nuclear / Particle Physics , Modern Physics / Intro Quantum , Astro-Physics / Astronomy , Quantum Mechanics  \n\nMATH: Algebra 1 / Beginning Algebra , Geometry , Trigonometry , Pre-Algebra / Elementary Math , Algebra 2 / Intermediate Algebra , Probability and Statistics , Elementary Statistics , Business Statistics , Stats for Social Sciences and Psychology , Mathematical Concepts / Foundations of Mathematics , Business Calculus , Calculus 1 ( single variable ) , Calculus 2 ( single variable ) , Calculus 3 ( multi variable ) , Differential Equations ( calc 4 ) , Differential Equations using MATLAB , College Algebra / Advanced Algebra , Discrete / Finite Math , Linear Algebra.\n\nHourly Rate: $29/hr\n**$25/hr for help requiring >10 hours. 20% discount available for referrals.\n\nContact Us:\nWebsite:PCMassist.com\nEmail: help@pcmassist.com\nText: (818) 458-0086\n\nWork with us once and you won’t regret it! We guarantee an A+ work!\n;2022-03-05
2022-03-02T17:50:55-0700;37.5;Phoenix;Central/South Phx;phoenix;Arizona;\n\n\n\n\nI work with students of all experiences and ages!\n\nWho: Pauly G\nWhat: Math, standardized testing (math sections only), physics \nWhere: Online via Zoom\nWhen: Weekday and weekend availability\nContact: Text 425-780-6420, reply via email, www.paulystutoring.com/contact, or PLEASE leave a message if you call.\n\nInstant Booking:\n\nSchedule tutoring instantly! See www.paulystutoring.com/appointments to book a 1-hour tutoring session or a free 15-minute consultation. Please contact me directly for additional availability.\n\nPersonal Background:\n\nI graduated with a Bachelors of Science in Aerospace Engineering from Embry-Riddle Aeronautical University (ERAU) in Daytona Beach, FL. U.S. News and World Report consistently ranks ERAU as the #1 university for an undergraduate degree in aerospace engineering in the country. In addition, I have minors in mathematics and computer science.\n\nFollowing graduation, I was an engineer for the Boeing Company with 4.5 years of service but soon found my passion teaching. The 2021-2022 school year is my fifth academic year as a private tutor. Additionally, for the past three summers, I’ve been an instructor at the University of Washington Robinson Center for Young Scholars where I’ve taught algebra II to young, rising mathematicians. I work with students of all ages but most of my students are middle, high school, and college level students. I have taught hundreds of students and accumulated thousands of hours tutoring. \n\nApproach to Education:\n\nMeet students where they’re at! I understand math and physics isn’t everyone’s most favorite subject! My goal is to make tutoring fun and entertaining. I have assisted countless learners with anything from basic fractions to university-level differential equations. I have extensive experience working with those who have learning differences including ADHD, dyslexia, dysgraphia, dyscalculia, etc. Math is the universal language so ELL students are welcome. I help students with skills beyond curriculum content including the development of executive functioning and organizational skills. Most importantly, I believe in everyone’s inherent potential to learn and grow. My goal is to make online learning convenient, effective, and fun.\n\nServices:\n\nI tutor one-on-one via Zoom and have high-speed fiber internet for the best connection. Students may send their work before or at the start of session via email/text. Their work is easily shared virtually using Zoom. Zoom also includes a white-board feature students often find helpful. I have a touch screen computer that’s perfect for writing on the screen and screen shots are easily saved for later reference. \n\nAcademic Integrity: Education is about learning. For that reason, I cannot take any students assessment for them.\n\nTest Prep (PSAT/ACT/SAT) math sections \nElementary, middle school, high school math of any kind (algebra I & II, geometry, calculus, statistics, AP level, etc)\nPhysics\nCollege level math \n\nNote on standardized testing: My service goes beyond the math content and includes test taking strategies to statistically improve your chances of scoring higher. That’s why I have learned how the test is made so I may teach students how to deconstruct it. In addition, I often help students with test taking anxiety and truly believe no students worth is determined by their score on any one test.\n\nRates and Scheduling:\n\nMy standard rate is $50 for 1 hour. \nTake $25 off your next session when you refer a new student to me. If you are not satisfied with the quality of help you receive, the service is free. \nYou may text or email to find out more or to setup scheduling. See paulystutoring.com\n\nBest Regards,\n\nPauly G\n\nKeywords: Algebra prealgebra pre-algebra geometry pre-calculus precalculus precalc pre-calc trigonometry trig calculus calc stats statistics physics fractions linear equations parabolas quadratic equation exponential functions study prep preparation test testing AP PSAT SAT ACT\n    ;2022-03-05
2022-03-02T11:29:36-0700;60.0;Phoenix;Central/South Phx;phoenix;Arizona;\n\n\n\n\nServing all of the Phoenix Area in Facetime and Zoom tutoring\n\n*Math\n*Physics\n*Chemistry\n*Algebra\n*Geometry\n*Pre-Calc\n*Calculus\n*Thermodynamics\n*Statics, Dynamics\n*Fluid Mechanics\n*Several other Engineering courses\n\n| ----- My Educational Background and Experience ----- |\n\nDos Pueblos Engineering Academy Class of 2008.\nCal Poly Mechanical Engineering BS 2013.\nHave my Fundamentals of Engineering Certificate in Mechanical Engineering.\n\n*AP Physics-Score 5\n*AP Chemistry-Score 5\n*AP Calc\n*4 Calc Classes at Cal Poly\n*2 Linear Analysis at Cal Poly\n\n| ----- Rate ----- |\n\n$60/hr and 1 hour minimum sessions.\n\n24 hour cancellation policy: If you cancel within 24 hours, you will be charged for 1 hour and I will credit you 1 hour next session.\n\nPlease text to schedule. 805-705-five7two1. Include your name and 2 example photos of problems from the class.\n\n-Rick\n;2022-03-05
2022-02-28T10:03:29-0700;30;no city found;East Valley;phoenix;Arizona;\n\n\n\n\nFeel free to text me at 909-640-3570\n\nHi, I was accepted into the Ivy Leagues and tutor math, chemistry, and SAT/ACT. I’ve been a tutor for over 8 years working with students of all ages. I help with homework, quizzes and tests. For ACT/SAT I scored in the top 1%, use official practice tests and teach high-level tricks. I tutor through videocall, so you can work with me from the comfort of your home 🏠.\n\n+ Math ($30)\n+ Chem ($35)\n+ SAT/ACT ($45)\n+ Online Tutoring (Zoom/Skype/Facetime)\n\nGive me a call or text me at 909-640-3570. My schedule is flexible and we can get started ASAP.\n;2022-03-05
2022-02-14T11:44:45-0700;45;Scottsdale;East Valley;phoenix;Arizona;\n\n\n\n\nUniversity, College, and High School Spring Semester 2022 Tutoring and Exam Prep! Highly experienced (over 2000 hours tutoring) local (Scottsdale) in person tutoring by John the science/math tutor (480-343-2212) for all levels (1st and 2nd semester) of:\n\nChemistry (including general chemistry (113, 114), organic chemistry, and biochemistry), math and statistics (including college algebra and pre-calculus), general biology, microbiology and genetics, general physics: for ASU, UofA, Community College, AND High School!\n\n$45 per hour for individual in person tutoring and exam prep. Group tutoring and exam prep also (2 or more students).\nCall or text John at 480-343-2212. Call or text only, NO EMAIL. Here's a list of some of the courses I tutor,\n\nGeneral chemistry: ALL, including CHM 101, 107, 113, 114, 116, 130, 138, 151, 152\n\nOrganic chemistry: ALL, including CHM 230, 231, 233, 234, 235, 236\n\nBiology and Biochemistry: Bio 100, 101, 181, 241, 282, 340 BCH 361, Microbiology: All\n\nPhysics: PHY 101, 111, 112 PHS 110\n\nMath: Mat 112, 117, 121, 141, 142, 151, 170, 210,   Statistics, Including Psy 230\n\nALL High School chemistry, math, physics, and biology\n\nI'm also the author of a general chemistry tutorial workbook which I sell (new copies) directly to students for $30. Call John (the Tutor) at the above contact information to schedule a tutoring session and/or to purchase a new copy of the tutorial book!\n;2022-03-05
2022-03-02T07:02:18-0700;50;Phoenix;Central/South Phx;phoenix;Arizona;\n\n\n\n\nI hope everything is fine and I am glad to have you here. \nI am fully vaccinated and available to meet in – person and Online too\n\nSpecialization:\nI hold a Doctorate in Statistics with an Undergraduate Degree in Math (Major)\n15+ years of tutoring experience via digital board.\n\nGet: \n1. 100% Excellence work\n2. A+ Grade\n3. 100% buyer satisfaction with excellent teaching \n4. Fee after work done\n5. Teach concept in effective manner\n\nService specifics:\nCollege Algebra Integration Differential equations Limits Series Linear Algebra Linear Programming Operations research Numerical Analysis Mathematics Advanced Calculus 1 Calculus 2 Calculus 3 Trigonometry Vectors Higher Mathematics Complex analysis Pre-calculus Complex analysis Discrete Finite Math Differentiation Excel Tableau Pre-Algebra Tutor Minitab\n\nRate:\nZoom 1-on-1 tutoring\n$50 First hour (1hr) \n$100 (2hrs)\n$135 (3hrs)\n\nCredentials:\nWorked for 2 companies named\nDatameer (2014-2017) as a Statistics Data Analysis\nIBM (2017 onwards) as a Senior Statistician \n\nTutoring Keywords: \nMATH 116 Calc MBA 626, 215, QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA) STATISTICS 10 (UCLA), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math12400MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MATH 227, QMS 321, IS 310 MAT240, (CSULB),MAT 323, MAE 505, MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD)\n\nI can send you either a hand written or a word document according to your need. For live - Hand written work in specific time.\n;2022-03-05
