date_posted;link;price;city;subregion;region;state;post_text;price_list;posts_scraped_on;len_of_price_list
2022-01-17T06:45:48-0600;https://montgomery.craigslist.org/lss/d/montgomery-tutoring-for-25/7433890686.html;25.0;no city found;no subregion found;montgomery;Alabama;"




At OmniKen Edu. we offer many different services including group classes, private tutoring, and custom classes for homeschool students. We offer private tutoring for grades K- 12 in Math, Reading, Essay Writing, Science, and College Entrance exams (SAT and ACT Prep).

One thing that sets us apart from other tutors and tutoring companies is that we record all sessions and notes, so your child will have the ability to go back and review all of their sessions at their convenience.

This month, we are offering all of our sessions for $25 per hour!

Email, text, or call us to sign up.
    ";[25];2022-02-11;1
2022-01-20T21:46:36-0900;https://anchorage.craigslist.org/lss/d/anchorage-statistics-math-tutor-basic/7435632876.html;;Anchorage & Surrounding Communities;no subregion found;anchorage;Alaska;"




📈Online Tutoring   📝Affordable Competitive Rates  📊Free initial phone consultation    
📐Group Discounts   📆Weekday, Evening & Weekend Availability

T u t o r W i t h C h r i s . c o m
Call or Text 714-253-9990

Hello!  My name is Chris and I provide affordable online tutoring services to students ranging from Jr. High through Graduate School in a wide range of subjects 

You're welcome to read my 5-Star positive reviews and testimonials from my past and current clients on both Google and Yelp by searching ""Tutor With Chris""

I'm happy to help you with any of the following subjects:

Statistics for the Social Sciences
✏️Intro, Intermediate, Advanced
✏️SPSS

Psychology
✏️Research Methods
✏️Bio-psych
✏️Abnormal psych
✏️Others

Research Proposal Assistance
✏️Data Analysis in SPSS
✏️Research Design

Math
✏️Math Skills
✏️Intermediate & College Algebra
✏️Geometry
✏️Trigonometry & Pre-calculus

I have extensive experience working with students with learning disabilities and math anxiety and have helped countless students gain confidence, overcome their individual challenges and forge a path toward academic success.  I also understand -and can relate to- the challenges facing college and graduate students juggling academics, work and family, and I'm here to help

I am a professional academic tutor with 7+ years of college and university tutoring experience, as well as experience as a graduate teaching assistant at CSUF.  I have a BA in psychology, graduate coursework in clinical psychology and advanced statistics, an AA in anthropology, and experience working as a supplemental instruction leader at Fullerton College

As a small business owner with many years of customer service experience, it is very important to me that I provide every client with an uplifting, interactive and supportive experience.  At no additional charge I provide session notes, digital white board drawings, a copy of any work completed in our session, as well as any relevant resource materials I may already have on the subject

My rates are flexible and competitive so I can help as many students as possible

Please be aware, I offer traditional tutoring and instruction and am more than happy to work with you on your assignments in-session.  I do not complete assignments, coursework, exams or courses for students

For more information about my rates, discounts and appointment availability, and to discuss the help you need, you can contact me by phone or text at 714-253-9990 or by responding to this posting or contacting me through my website

I'm eager to help and look forward to hearing from you!

T u t o r W i t h C h r i s . c o m
714-253-9990
";[];2022-02-11;0
2022-01-31T10:22:46-0900;https://anchorage.craigslist.org/lss/d/nome-12-all-subjects-online-tutoring-by/7440015334.html;;no city found;no subregion found;anchorage;Alaska;"




Our tutors are real full-time teachers who are guaranteed to help you improve your grades!

Study Help connects students in an online platform with professional educators that specialize in teaching specific subjects, and will customize instruction to the areas you need help in. We help students in elementary, middle and high school in all subject areas including: Math, English/Language Arts, Science/History, AP and more! *All sessions are held via zoom for easy and convenient scheduling.

Why take the risk of working with college students or part time tutors, when you can get help from teachers who understand your specific coursework?

Interested in how we can help you achieve academic success? Learn more on our website (https://study.help) or reply to meet with a real teacher to go over your academic needs.
";[];2022-02-11;0
2022-01-30T14:03:22-0700;https://flagstaff.craigslist.org/lss/d/flagstaff-tutor-teacher-available-for/7439654825.html;30.0;Flagstaff;no subregion found;flagstaff;Arizona;"




Certified teacher, available for most subjects, live online! 

I have my M.Ed. in Special Education- get help with IEP/PDP/504, and questions about educational planning. 

Work on skills, including ALGEBRA, GEOMETRY, and COLLEGE courses!

Prep for college entrance exams, with an SAT and ACT expert!

With over 15 years in public schools, I have taught chemistry, biology, lower physics, algebra, geometry, trigonometry, language arts, writing, health, and geography. I will help with social studies, electives (Spanish), study skills, and note-taking. 

I have a love for teaching, and I have tutored on the side for over a decade. I am flexible with price, generally seeking $30 per hour, but tell me your situation. I also offer other educational services, including advocacy and consultation. Please tell me what is happening, confidentially, and I will do what I can. 

References for my current students are available, upon request! Thank you!

David
(512) 736-9858
";[30];2022-02-11;1
time of post unavailable;None;;no city found;no subregion found;flagstaff;Arizona;text not found;[];2022-02-11;0
2022-02-04T17:18:54-0700;https://phoenix.craigslist.org/cph/lss/d/glendale-college-math-homework-test/7441881305.html;40.0;Phoenix;Central/South Phx;phoenix;Arizona;"




Are you currently struggling in passing or getting your desired grade in your math courses during this difficult time, especially when math courses are online? With over ten years of tutoring, teaching, and helping experience, I am proficient at helping students to succeed and pass their courses in the following math subjects:

- Algebra / College Algebra
- Geometry
- PreCalculus / Trigonometry
- Calculus / Business Calculus
- Statistics / Business Statistics
- Math for Liberal Studies / Discrete Math

Estimate based on the detail of each assignment or assessment, with a minimum of $40 per assignment or assessment. Please contact me at (626) 200-5922 at least few days before the due dates of the assignments for a smooth, remote transition and experience.

Thank you so much and I look forward to work with you!

------------

Keywords: Math, Homework, Test, Exam, tutor, proctor, proctorio, proctorU, Teacher, Helper, Completion, Complete, Online, Remote, Quizzes, Quiz Mathematics, College, Algebra, final, course, aleks, webassign, pearson, mymathlab, cengage, SPSS, mathxl, mcgraw-hill, apex, connectmath, connect, mystatlab, respondus lockdown, web, assign, Canvas, d2l, Desire2learn, professional, writing, assignment, assignments, help, tutoring
    ";[40];2022-02-11;1
2022-02-04T13:31:53-0700;https://phoenix.craigslist.org/cph/lss/d/phoenix-ivy-league-tutor-sat-act-gmat/7441778578.html;;no city found;Central/South Phx;phoenix;Arizona;"




Professional full-time tutor available for your tutoring needs. I’m highly experienced with a strong track record of helping students increase grades and test scores. I take pride in bringing out the full academic potential from my students.

Contact me (call or text) at 480-535-2348

Educational Background:

University of Pennsylvania
(Undergrad)
Harvard University
(Grad)
ACT 35
SAT 1580
LSAT 176
MCAT 524
GRE 334
GMAT 790

I have 4 years of classroom teaching experience at a public school. I also have 3 years of work experience teaching at a tutoring center. I went on my own and have been doing online and in-person tutoring for the past 4 years.

Subjects I tutor: Geometry, Calculus, Algebra, Pre-calculus, Trigonometry, Biology, Physics, Chemistry, Organic Chemistry, Anatomy and Physiology, Psychology, Earth Science, Environmental Science, General Science, English Literature, Language and Writing, AP courses, and History.

Tests I tutor:  SAT, ACT, GMAT, GRE, LSAT, MCAT, MAT, GED, ISEE, HSPT, TOEFL, IELTS

Other services: Admission counseling, editing resume and cover letters, interview tips, essay writing, writing personal statements

Rate: varies depending on location, subject and the type of tutoring selected.

Please contact me by responding to this listing with your name and contact number along with the subject or exam you need help with. I’ll get back to you as soon as I can to discuss plans.
";[];2022-02-11;0
2022-02-03T06:21:56-0700;https://phoenix.craigslist.org/nph/lss/d/phoenix-math-computer-science-test-prep/7441137797.html;46.0;Scottsdale;Phx North;phoenix;Arizona;"




BlakeTutoring.com

OVER 450 five-star reviews on Wyzant & Thumbtack!
1 hour sessions for only $57!
30 minute sessions for only $35!

Text/Call: 724-804-8356
Hi, my name is Alexander Blake, and I have been tutoring for over 10,000 hours! I graduated with a Bachelor's in Computer Science from California State University, Fullerton. In my time tutoring, I have tutored elementary through graduate level students.
I have successfully prepared students for SAT and ACT Math tests, and up to Calculus level work. In high school, I was in an accelerated math program where I was able to take AP Calculus AB my junior year, and AP Calculus BC my senior year. After taking the AP Calculus AB & BC Exams, I scored a 5 out of 5 on both tests. This allowed me to not only begin my higher-level math courses early in college but has also enabled me to keep my math skills refined, and graduate with a 3.8 GPA.
My tutoring philosophy focuses on the individual. I like to know what each of my clients likes to do outside of school so I can relate the math concepts they are learning about things they enjoy doing. To accomplish this, I personally design my lesson plans and customize them to my client's personality. For example, if I have a student that plays basketball, I will have them solve problems that incorporate concepts of basketball, such as finding a team's field goal percentage. By focusing on each person uniquely, I am able to fully understand why the student is not grasping certain concepts and can help them understand concepts and terms they are already familiar with. This is why all of my students have been and will continue to be successful!


Math: Algebra I/II, Calculus (AP AB & College Level), Geometry, Precalculus, Statistics (AP, College Level, & with Excel, R, or SPSS), & Trigonometry
Computer Science: AP CS A/Principles, C, C++, CSS, HTML, Java, JavaScript, Linux (Bash/Zsh), Python, R, & SQL/MySQL/SQLite
Test Preparation: ACT (All Sections), ASVAB, GED, GRE (Quantitative), HiSET, HSPT, SAT (All Sections), & SSAT (All Sections & Levels)
Text/Call: 724-804-8356
 ";[57, 35];2022-02-11;2
2022-02-02T16:18:50-0700;https://phoenix.craigslist.org/nph/lss/d/paradise-valley-math-tutor-calculus/7440994509.html;;no city found;Phx North;phoenix;Arizona;"





☎️  (646) 450-2967 -Molly
Subjects tutored:

● Precalculus, Calculus I, II, III, Differential Equations
● AP Calculus AB & BC 
● Prealgebra, Algebra I & II, Trigonometry, Geometry 
● GMAT, GRE, SAT, ACT
____________________________________________

With me, you will understand every step.
Over the past 5 years, I've adapted my tutoring to students of all learning styles. I've helped students failing Calculus jump to A's as well as those just needing to iron out the details. I have ample experience helping students with College Calculus as well as AP Calculus.

I use a cutting edge tablet and digital pen to write on the screen. I color-code the math, capture any picture or graph, resize it, highlight and erase all within seconds. I send all the notes at the end of each session.

☎️ (646) 450-2967
Please leave me a text/voicemail with the course or test you need help with and I will get back to you within 12 hours.

";[];2022-02-11;0
2022-02-01T11:59:44-0700;https://phoenix.craigslist.org/nph/lss/d/phoenix-math-chemistry-physics-biology/7440436663.html;27.0;Phoenix;Phx North;phoenix;Arizona;"




Do you need help with your Math, Chemistry, Physics, Engineering classes? Our mission is to help students succeed in their classes. We provide 24/7 assistance to take away the stress of upcoming Assignments / Homework , Projects and Exams. PCM only works with highly experienced, professional tutors who have a proven track record of success. Our individualized approach has helped countless students achieve the academic and test prep goals of their dreams.

CHEMISTRY: Introductory Chemistry , AP Chemistry , General Chemistry I and II, Organic Chemistry I and II , Advanced Organic Chemistry , Biochemistry , Physical Chemistry , Analytical Chemistry , Thermochemistry

PHYSICS: AP Physics , Engineering Thermodynamics , Applied Physics , Mechanics / Motion , Geometric Optics , Thermodynamics , Fluid Mechanics , Electro Statics / Electro-Dynamics / Magnetism , Circuits / Advanced Circuit Concepts , Oscillations / Waves , Atomic / Nuclear / Particle Physics , Modern Physics / Intro Quantum , Astro-Physics / Astronomy , Quantum Mechanics  

MATH: Algebra 1 / Beginning Algebra , Geometry , Trigonometry , Pre-Algebra / Elementary Math , Algebra 2 / Intermediate Algebra , Probability and Statistics , Elementary Statistics , Business Statistics , Stats for Social Sciences and Psychology , Mathematical Concepts / Foundations of Mathematics , Business Calculus , Calculus 1 ( single variable ) , Calculus 2 ( single variable ) , Calculus 3 ( multi variable ) , Differential Equations ( calc 4 ) , Differential Equations using MATLAB , College Algebra / Advanced Algebra , Discrete / Finite Math , Linear Algebra.

Hourly Rate: $29/hr
**$25/hr for help requiring >10 hours. 20% discount available for referrals.

Contact Us:
Website:PCMassist.com
Email: help@pcmassist.com
Text: (818) 458-0086

Work with us once and you won’t regret it! We guarantee an A+ work!
";[29, 25];2022-02-11;2
