date_posted,link,price,city,subregion,region,state,post_text,price_list,posts_scraped_on
2022-01-23T20:22:56-0700,https://phoenix.craigslist.org/wvl/lss/d/queen-creek-math-tutor-online-only-at/7436819468.html,,no city found,West Valley,phoenix,Arizona,"




Hello, I’m Lonzo an online math tutor. I’ve been tutoring math online/ in person for about five years. I graduated from University Of California Riverside with bachelor of art in economic and a minor in math. Here are the courses that I’m confident and have many years of experience: calculus 1, business calculus, precalculus, trigonometry, college algebra, intermediate algebra, algebra 2, middle school algebra, and anything below. I don’t do statistic since I never took the course in college. Since, I live in Southern California I can only tutor math online.

How much is my services? The first hour is always free for all math courses. After that it’s $25 an hour for college algebra and below, $30 an hour for precalculus/trigonometry, and $50 an hour for calculus 1 and business calculus. I also offer monthly subscription starting at $50 per month with monthly subscription you get a max of 2 days per week, one hour per day that’s a potential 8 sessions per month. Cancel or enroll any time there are no cancellation fee. Since the subscription plan is very popular, and it’s only me who is tutoring( no third party) space can be limited so please sign up now. For payment I accept: paypal, zelle, or payment on website is fine.

Is online math tutoring worth it, is it like real thing? Yes, online math tutoring is worth it, and it’s exactly like in person tutoring. It’s a share screen process, I will go over the assignment or anything you want to go over step by step using annotation mode( I write on your screen) or I can do each problem using my zoom online whiteboard. If the schoolwork isn’t online just email or text me the problems, and I will go over each problem using my zoom online whiteboard. You will see every step for each problem.

What do I need for online math tutoring? 1) computer with wifii, 2) microphone( usually built into newer computers), 3) valid email to send zoom link( don’t need a zoom account), 4) the drive to learn

How do I make my first free appointment? You can make your first session at my website at https://www.lonzosmathtutoring.com/ or directly with me via text or phone at 951-795-5027 Mon-Sun 7am-11pm pacific time. Due to heavy traffic please schedule your first free appointment online.
    ","[25, 30, 50, 50]",2022-01-26
2022-01-16T00:31:17-0700,https://phoenix.craigslist.org/cph/lss/d/torrance-college-math-tutor-calculus-ii/7433500707.html,,Online,Central/South Phx,phoenix,Arizona,"




★★ College Math Tutor★ Calculus I ,II & III, AP Calculus AB/BC , Trig, College Algebra, College Statistics, Linear Algebra, ODE


Website :

www.collegemathcourses.com

YouTube :(Under Construction)

https://www.youtube.com/channel/UCqhFZRmUqOAAPMQpo58TV7g

★★ All tutoring is done by One Tutor. ★★


Elementary Statistics and Probability
Introduction to Statistical Reasoning
Probability and Statistics
Mathematical Statistics

Pre-Algebra
Intermediate Algebra
College Algebra/Algebra 1/Algebra 2

Geometry
Trigonometry (Trig)
Finite Mathematics
Pre-Calculus /Math Analysis
Calculus I , II and III
Vector Calculus
Introduction Linear Algebra (Matrix)
Finite Mathematics

===For Engineering students ========================

Advanced Calculus
Differential and Integral Calculus
Multiple Variable Calculus
Applied Statistics and Probability for Engineers
Complex Numbers
Differential Equation
Engineering Analysis

===For MBA and EMBA students ====================

Business Statistics
Business Calculus

Introduction to Statistical Reasoning
Operational Research
Optimization
Quantitative Analysis
Decision Analysis
Management Science
Linear Programming
Transportation Problems

Excel Tableau
Mathematics and Politics
Project Management

Test Preparation

SAT

CBEST, CSET I, II and III (MATHEMATICS for HS and Middle school Teachers)

GRE MATH

GMAT MATH

AP Calculus AB and BC
AP Statistics

Graphing Calculation help


Hourly Rate : Depending on the subject: ==== Most Math/Stats Subjects ====


============= ★★ $40/hr ★★ ====================================
Assignment Help, Homework Help -Step by Step Solutions
====================================================================

============== ★★ $40/hr ★★ =========================================

Zoom 1-on-1 tutoring : $40/hr

====================================================================


★ I can help students with their homework assignments , projects, and prepare for the Exams★

★ I will forward you a PDF file of the notes and problems solved during the tutoring session if needed★


==★★ Exp University Level Math Tutor (MS Applied Mathematics, MS Applied Statistics, ...etc) ★★ ==

============== ★★ ★★ =======================================
GRE MATH (My GRE MATH Score : 800/800)
============================================================

★★ You're not paying for the hours or minutes but for Education, Knowledge and Experience ★★

★★★★★★ Text/ Email Preferred (Text for a Faster Response ) ★★★★★★
============================================================================




★ Calculus II ★
Integrals
Integration by Parts
Inverse Functions
Techniques of Integration
Infinite Sequences and SERIES
Converge and Divergence Tests..
Areas and VOULUMES
Areas and Lengths in Polar Coordinates
Conic Sections
Parametric Equations and Polar Coordinates
Introduction to Vector Calculus


★ Calculus III ★

3D Coordinate Systems
Vector Functions
Partial Derivatives
Maximum and Minimum Values (With constraints)
Multiple Integrals
Vector Calculus
Line Integrals
Surface Integrals
Fundamental theorems for line Integrals
Applications (Calculus 1, 2 , 3. and Multivariable Calculus)
Greens Theorem
Divergence Theorem
Stroke's Theorem
Introduction to Second order Differential Equations


College Statistics :
Elasticity, ANOVA, Z , t , Normal, Poisson, Binomial, Exponential, Uniform, Negative Binomial, Hyper-geometric distributions , Trigonometry, Integration, Integration by Parts, Differentiation, derivative , Theory of Voting, Majority Rule, Voting Methods, Voting Power, Minimum Spanning tree , Shortest path, spanning tree , PERT, CPM, ALEKS, Cengage ,Canvas, MyMathLab , MyStatLab ,Pearson , Wiley , Brightspace, MyOpenMath, Connect,Webwork. ConnectMath, StraighterLine , Statcrunch ,WebAssign , Lumenohm. etc

Keywords: High School, Middle School, College, University, Home school, Online Help, Google Drive, Zoom, Screen share, whiteboard, , Graphing Calculator Help, Consultation, STEM, Excel, statcrunch, F201, MBA 626, QUMS 505, BUAD 310 (USC), QBUS 215, MATH 227, QMS 321, IS 310 (CSULB), QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA), Introduction to Statistical Reasoning STATISTICS 10 (UCLA), MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MAT 323, MAE 505, PPD 502X, Psych 210, Psy 3307 , MA-336 (CUNY), MA-114 (CUNY), MA-119 (CUNY) , MA-441 (CUNY), MA-442 (CUNY), MA-440(CUNY), MA-261 (CUNY), MA-121 (CUNY), MA-120 (CUNY), MA-10 (CUNY), MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math 165 (El Camino), Math12400,.....
(SMC) Math 1, Math 2, Math 2C, Math 3, Math 3C, Math 4, Math 4C, Math 7, Math 8, Math 15, Math 18, Math 20, Math 21C, Math 26, Math 26C, Math 28, Math 29, Math 31, Math 32, Math 41, Math 50, Math 54,Math 54C,Math 81,Math 84,Math 85 (SMC)
(SBCC) MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124, MATH 1040 (Honors), MATH G160, STAT 280 (Applied Statistics),

Stony Brook University:
[MAT 119: Foundations for Precalculus, MAT 122: Overview of Calculus with Applications, MAT 123: Precalculus, MAT 126: Calculus B, MAT 127: Calculus C, MAT 130: Trigonometry and Logarithms, MAT 132: Calculus II, MAT 141: Analysis I,MAT 171: Accelerated Single-Variable Calculus, MAT 203: Calculus III with Applications, MAT 211: Introduction to Linear Algebra, MAT 260: Problem Solving in Mathematics, MAT 307: Multivariable Calculus with Linear Algebra, MAT 308: Differential Equations with Linear Algebra, MAT 307: Multivariable Calculus with Linear Algebra, MATH 125]
MAT 241 ( Calculus 3/ Chicago/Illinois)
    ","[40, 40, 40]",2022-01-26
2022-01-05T09:23:00-0700,https://phoenix.craigslist.org/evl/lss/d/tempe-math-chem-sat-act-tutor-30/7428924844.html,,no city found,East Valley,phoenix,Arizona,"




Feel free to text me at 909-640-3570

Hi, I was accepted into the Ivy Leagues and tutor math, chemistry, and SAT/ACT. I’ve been a tutor for over 8 years working with students of all ages. I help with homework, quizzes and tests. For ACT/SAT I scored in the top 1%, use official practice tests and teach high-level tricks. I tutor through videocall, so you can work with me from the comfort of your home 🏠.

+ Math ($30)
+ Chem ($35)
+ SAT/ACT ($45)
+ Online Tutoring (Zoom/Skype/Facetime)

Give me a call or text me at 909-640-3570. My schedule is flexible and we can get started ASAP.
    ","[30, 35, 45]",2022-01-26
2022-01-17T08:30:39-0700,https://phoenix.craigslist.org/cph/lss/d/phoenix-20-hr-ms-phd-tutoronline-11-12/7433947931.html,,Entire Phoenix Area,Central/South Phx,phoenix,Arizona,"




Please visit us at www.sharpmindclasses.com 
Please feel free to text/call us at (650) 398-9490.

About Us:

At SharpMind Classes Inc, we are an experienced team that includes hand picked tutors and founders from IITs/Stanford dedicated to personalized 1:1 online tutoring. All our tutors have a Master of Science and/or a PhD degree in respective disciplines. All our tutors have  >5 years of experience  with online tutoring and helping students succeed in achieving their academic goals. 

Our online courses are designed to give students an excellent grasp of concepts in respective subjects with a focus on strong foundation building and practice based learning. We use state of the art audio/visual tools (Skype/Zoom/Google Meets/Whiteboard) to have a seamless online tutoring experience. 

Class room teaching uses one-size-fits-none approach and is not ideal for students with wide range of learning pace and abilities. It ends up overwhelming some students or causing boredom and thus reduced interest in others. We customize your tutoring plan based on the results of an assessment to define the content and pace of tutoring to your individual needs. Comprehensive assessments and worksheets are also used to define the baseline competency at the beginning of tutoring, to build confidence and test taking skills and to periodically demonstrate sustained progress.

References can be provided upon request.

Rates:

Our rates are:

* $20/hr for K-8
* $25/hr for high school
* $30/hr for college
* $30/hr for HSPT/TASC/COOP, SAT/ACT, GMAT and GRE. 

First class is free for you to assess a good fit with the tutor.

Tutoring Subjects:

We offer online tutoring in the following subjects:


Competitive Exams:

•	HSPT 
•	TASC 
•	COOP 
•	SAT 
•	GRE 
•	GMAT 

Math:

•	Grades K-12 Math
•	Algebra 1 (Beginning), 2 (Intermediate)
•	College Algebra
•	Geometry
•	Precalculus
•	AP Calculus: AB and BC
•	Calculus I: Differential Calculus
•	Calculus II: Integral Calculus
•	Calculus III: Multivariable Calculus
•	Common Core: Math 1, Math 2, Math 3

Science:

•	Grades 1 – 10 Science.
•	Chemistry
•	AP Chemistry
•	College General Chemistry
•	Biology
•	AP Biology
•	College General Biology
•	Physics
•	AP Physics 1 and 2
•	AP Physics C: Mechanics
•	AP Physics C: Electricity & Magnetism
•	College General Physics

Humanities:

•	Grades 1 – 12 English Composition and Writing.
•	AP Economics
•	AP World History 

 If you have a question about possible subjects to tutor in, please contact us with your contact information and we will promptly reply. Please feel free to text/call us at (650) 398-9490.
","[20, 25, 30, 30]",2022-01-26
2022-01-13T18:56:20-0700,https://phoenix.craigslist.org/nph/lss/d/phoenix-scorer-tutor-ap-calculus/7432589540.html,,Online,Phx North,phoenix,Arizona,"




Call or text Oscar: (702) 600-9660
Email: oscar AT QMPtutoring DOT com
www.qmptutoring.com

•BA in Physics from Pomona college (#1 “2022 Best Small Colleges in America”, niche.com)
•National AP Scholar
•National Merit Finalist
•5 years tutoring at Pomona College through upward bound, physics lab TA, peer mentor
•Focused on getting results for AP Calculus, Physics 1&2, Physics C Mechanics, Physics C E/M, Chemistry, and Biology
•1-on-1 online tutoring on a flexible schedule through Zoom
•$50/hr: 10 hours
•$65/hr: 5 hours
•$80/hr: 1 hour
•FIRST HOUR FREE IF YOU ARE NOT SATISFIED

My Results
Zoe. W.: 52% → 79% in college physics
Sydney G.: 82% → 93% in physics
Phoebe S.: 93% → 96% in physics
Emmy M.: 77% → 92% in physics
R. R.: 75% → 87% in Algebra
Sofia C.: 73% → 93% in college physics lab
Seeta A.: 72% → 85% in high school physics
Wade W.: 85% → 95% in AP Calculus
S. B.: F → C+ in College History of Design Class
E. S: Grade of A throughout the whole semester
Sam T.: 82 on ASVAB after 1 week tutoring
Evan C: 70 on ASVAB after only 1 week of tutoring

 Reviews:

""Oscar has taught me two sessions of AP Calculus 1 and he is amazing. A lot of people have tried to explain the concepts of physics to me but he has been the only one that I could actually grasp the information. His sessions are very interactive which I find to be super helpful especially when he explains a concept to me then lets me apply what I learned on the next problem. When it comes to physics learning how to do one problem is not enough but he teaches you the foundation of it and how it would apply to different problems. If you are looking for an AP physics tutor I definitely recommend Oscar!!!!!""
***Izzy, AP Physics/Precalculus

“Oscar Torres helped me out immensely during my AP Calculus class when I was struggling during my online school year. What would of resulted in a failed class was easily turned around with his guidance! He's smart, friendly, and very understanding. Would certainly recommend! Thanks Oscar!”
***Wade, AP Calculus

“Oscar is so patient and is able to explain things in ways that actually make sense! He genuinely cares and you can tell he has a passion for helping others! So grateful to have the opportunity to work with him! Literally couldn’t ask for a better math tutor!”
***Adrianna, Algebra I/II

“Before I started working with Oscar, I was struggling in physics. Once we began working together, I found it helpful to be able to go over my work, do extra problems, ask questions, and talk through the material. I comprehend material much better when I can talk it out with someone and ask questions, and in class, I can’t really do that, but with Oscar I can. I’ve definitely seen a difference in my performance in the class since we started working together.”
***Sydney, Honors Physics

“In the beginning of the year when I first started taking physics class very little made sense to me and my grade was not very good. When I started working with Oscar the material started to come together. Since then I have gotten my grade up by a lot and I have understood all the material that my teacher has given to us. Going over the material and studying with Oscar has helped me so much.”
***Emmy M, High School Physics
","[50, 65, 80]",2022-01-26
2022-01-24T11:20:44-0700,https://phoenix.craigslist.org/evl/lss/d/scottsdale-tutoring-for-elementary/7437035777.html,,Gilbert,East Valley,phoenix,Arizona,"




Hello, my name is Austin. I graduated Summa Cum Laude from SCC with degrees in both Arts and Science. Currently I am a Senior Biochemistry student at ASU. I work from 3pm-7pm weekdays as a professional tutor at a local K-12 tutoring center. In order to get more hours, I tutor math and science privately. I am a VERY good tutor, and my tutoring services will be effective in raising your child's grades. 

Courses I am currently tutoring:

Elementary School Math
Middle School Math
High School Math
Pre-Algebra
Algebra
Geometry 

Middle School Science
High School Science
Chemistry
Biology
Physics

I charge $20 an hour for tutoring online over Zoom, and $30 an hour for in-person tutoring.

My girlfriend Sabrina used to be a professional tutor, so sometimes she will help out if I have too many students. She also charges $20 an hour for tutoring online over Zoom, and $30 an hour for in-person tutoring.

In the first session, I will assess what the student needs help learning. Most of the time students have more holes in their understanding than what parents or teachers realize. For instance, I might have a student come to me asking for help with geometry, but I quickly realize that they struggle with negative numbers, decimals, and multiplying fractions. My goal is to not only help the student with their current coursework, but to also catch them up on the foundational skills they are lacking. Not only do I want to help students earn good grades while in school, I also want to see students turn into mature adults with the skills necessary for handling money, calculating interest, determining the unit price of items at the grocery store, etc. 

I work with kids of all ages, personalities, and previous backgrounds. If you are unsure if I would be the correct tutor for your child, don't hesitate to call or text me. With more information about your specific needs, I will be able to tell you exactly how I can help your child.

Look forward to hearing from you!
Austin
    ","[20, 30, 20, 30]",2022-01-26
2022-01-05T10:02:01-0700,https://phoenix.craigslist.org/cph/lss/d/phoenix-spss-statistics-geometry-sas/7428946076.html,,Phoenix,Central/South Phx,phoenix,Arizona,"




I hope everything is fine and I am glad to have you here. 
I am fully vaccinated and available to meet in – person and Online too

Specialization:
I hold a Doctorate in Statistics with an Undergraduate Degree in Math (Major)
15+ years of tutoring experience via digital board.

Get: 
1. 100% Excellence work
2. A+ Grade
3. 100% buyer satisfaction with excellent teaching 
4. Fee after work done
5. Teach concept in effective manner

Service specifics:
College Algebra Integration Differential equations Limits Series Linear Algebra Linear Programming Operations research Numerical Analysis Mathematics Advanced Calculus 1 Calculus 2 Calculus 3 Trigonometry Vectors Higher Mathematics Complex analysis Pre-calculus Complex analysis Discrete Finite Math Differentiation Excel Tableau Pre-Algebra Tutor Minitab

Rate:
Zoom 1-on-1 tutoring
$50 First hour (1hr) 
$100 (2hrs)
$135 (3hrs)

Credentials:
Worked for 2 companies named
Datameer (2014-2017) as a Statistics Data Analysis
IBM (2017 onwards) as a Senior Statistician 

Tutoring Keywords: 
MATH 116 Calc MBA 626, 215, QMS 423, BUS 14A, BUS 14B, Pre-Calculus MATH 1 (UCLA) STATISTICS 10 (UCLA), MATH 10A (UCSD), MATH 10B (UCSD), MATH 20A (UCSD), MATH 20B (UCSD), MATH 20C (UCSD), MATH 20D (UCSD), MATH 11 (UCSD), MATH 2 (UCSD),Math12400MATH 8 (SMC), MATH 31A (UCLA), MATH 112, MATH 120, MATH 102 (LMU), MATH 142, MATH 241/242, STAT 015, STAT 050, MATH 10, MAT 191, MATH 114, MATH 117, MATH 110C, MATH 130C, MATH 131, MATH 137,, MATH 138, MATH 150C, MATH 160C, MATH 138, MATH 150, MATH 160, MATH 200, MATH 220 (SBCC), MATH 124MAT 192, MAT 131, MAT 321, MAT 421, MAT 131, MATH 227, QMS 321, IS 310 MAT240, (CSULB),MAT 323, MAE 505, MATH 2 (UCSD), MATH 3C (UCSD), MATH 4C (UCSD)

I can send you either a hand written or a word document according to your need. For live - Hand written work in specific time.
","[50, 100, 135]",2022-01-26
2022-01-02T18:02:10-0800,https://bakersfield.craigslist.org/lss/d/bakersfield-math-tutor-available/7427872898.html,,no city found,no subregion found,bakersfield,California,"




Qualified Middle School teacher (licensed in both California and Hawai'i- with over 12 years of experience) offering virtual one-on-one Math tutoring via Zoom to support students with their specific academic needs. Price per session begins at $30. Please contact me for more information and to schedule a free consultation.

Session Options/Pricing:

Initial Consultation (Free)
30-minute session ($30)
60-minute session ($60)
90-minute session ($90)    ","[30, 30, 60, 90]",2022-01-26
2022-01-05T23:06:51-0800,https://inlandempire.craigslist.org/lss/d/rancho-cucamonga-experienced-math-and/7429248221.html,,"Inland Empire, Rancho Cucamonga, And Surrounding Areas",no subregion found,inlandempire,California,"




I am a Math professor in one of the well-known schools in Inland Empire. I have a PhD degree in Mathematics. I also have bachelor and Masters degrees in Statistics. I have 10 years of teaching and tutoring experience. I know what students want, and I know what teachers want. And sometimes, these things aren't the same. But it's my job to bridge that gap and prepare you to be successful. I specialize in making learning easy, fun, and relevant to the real world. No matter what your starting skill level, I can get you to the level you want to be.

For some reviews about my tutoring, please read the reviews here:
https://www.facebook.com/stat.math.tutor333/reviews/?ref=page_internal

I have experience working with students of all ages including K-12, undergraduate, and graduate levels. Work with me, and I guarantee that you will get results.

I offer a trial session, $30/hr for the first hour. Afterward, my rate is variable based on driving distance and the course level. I usually charge $45~$60/hr. The price is negotiable if you want to schedule 2+ hour session, or if you have any financial hardships.

Email or text me to set up our first meeting. When you contact me, please let me know the course name, and the book of the course. If you have the syllabus of the course that will be great.

I have tutored algebra 1, algebra 2, Pre-algebra, algebra , Geometry, Discrete Math, College Algebra, Finite math, , trigonometry , Probability & Statistics, Pre Calculus, Discrete Math, Calculus for Business, Calculus I, II, III, Differential Equations, Business Statistics, and MORE!!
    ","[30, 45, 60]",2022-01-26
2022-01-22T23:22:23-0800,https://losangeles.craigslist.org/wst/lss/d/santa-monica-math-tutor/7436488524.html,,Santa Monica,Westside-Southbay,losangeles,California,"




Hi! My name is Emily. I have my BA in Mathematics and 10+years experience tutoring. Have mostly worked with kids (K through high school, but have also tutored adults)

I have availability Mondays, Wednesdays, and Fridays between 9am and 8pm. In person only, no virtual lessons available. I am fully vaccinated. Message me for more info about my experience!

Trial 30 minute session $20

$80 for 50 minute private tutoring
$90 for 50 minute semi-private tutoring
$120 for 50 minute (3+ students) group tutoring
Additional travel fees may apply if outside of Santa Monica area
    ","[20, 80, 90, 120]",2022-01-26
